name,mp,pp,unweighted_claim_mistakes_per_claim,unweighted_lead_mistakes_per_lead,unweighted_mistakes_as_declarer,unweighted_mistakes_as_defender,unweighted_defender_missed_current_double,unweighted_defender_erroneously_doubled,unweighted_defender_missed_higher_contract,unweighted_declarer_missed_higher_contract,unweighted_declarer_missed_doubling_opponents_last_bid,unweighted_declarer_missed_opponents_last_redouble,unweighted_declarer_missed_redoubling_opponents_erroneous_double,unweighted_declarer_missed_opponents_last_bid,unweighted_declarer_erroneous_redouble,unweighted_passed_higher_contract
Jean-Jacques Palau,24.0,0.0,0.00872093023255814,0.1958762886597938,0.03288958496476116,0.030032467532467532,0.16237113402061856,0.005154639175257732,0.08762886597938144,0.2036082474226804,0.09278350515463918,0.002577319587628866,0.01804123711340206,0.020618556701030927,0.0,0.002577319587628866
Leonardo Rizzo,78.0,1.0,0.03225806451612903,0.19148936170212766,0.0400890868596882,0.019569471624266144,0.1676300578034682,0.005780346820809248,0.06358381502890173,0.20809248554913296,0.09248554913294797,0.0,0.011560693641618497,0.011560693641618497,0.0,0.0
Throstur Ingimarsson,20.0,1.0,0.03734439834024896,0.16666666666666666,0.03139013452914798,0.026282853566958697,0.13793103448275862,0.011494252873563218,0.07279693486590039,0.24904214559386972,0.07279693486590039,0.0,0.019157088122605363,0.022988505747126436,0.0,0.0038314176245210726
Stephan Magnusson,102.0,0.5,0.029239766081871343,0.20437956204379562,0.026934097421203437,0.0319337670017741,0.12274368231046931,0.007220216606498195,0.09566787003610108,0.26173285198555957,0.0740072202166065,0.0018050541516245488,0.016245487364620937,0.01444043321299639,0.0,0.0
Sverrir Armannsson,20.0,1.0,0.021052631578947368,0.21311475409836064,0.02304147465437788,0.013986013986013986,0.14215686274509803,0.004901960784313725,0.08333333333333333,0.18627450980392157,0.08333333333333333,0.0,0.024509803921568627,0.029411764705882353,0.0,0.0
Andrej Shudnev,13.0,1.0,0.0,0.3333333333333333,0.058823529411764705,0.04411764705882353,0.13333333333333333,0.0,0.2,0.26666666666666666,0.13333333333333333,0.0,0.0,0.0,0.0,0.0
Mikhail Krasnosselski,168.0,0.5,0.058823529411764705,0.06896551724137931,0.02122641509433962,0.02608695652173913,0.11666666666666667,0.0,0.05,0.25833333333333336,0.13333333333333333,0.0,0.041666666666666664,0.008333333333333333,0.0,0.0
Alexander (Sascha) Wernle,11.0,1.0,0.026785714285714284,0.1415929203539823,0.028695181375203032,0.019417475728155338,0.13385826771653545,0.001968503937007874,0.11023622047244094,0.19291338582677164,0.07283464566929133,0.0,0.031496062992125984,0.01968503937007874,0.0,0.0
Nurit Naveh,0.0,0.0,0.0,0.5,0.0,0.0,0.2,0.0,0.06666666666666667,0.2,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
Hanita Melech,0.0,0.0,0.14285714285714285,0.25,0.0,0.0,0.2,0.0,0.06666666666666667,0.2,0.0,0.0,0.06666666666666667,0.0,0.0,0.0
Jet Pasman,0.0,0.0,0.035037878787878785,0.19642857142857142,0.03012176885280923,0.024799599198396794,0.15256916996047432,0.0007905138339920949,0.0766798418972332,0.21422924901185772,0.07114624505928854,0.0023715415019762848,0.025296442687747035,0.013438735177865613,0.0,0.0015810276679841897
Anneke Simons,0.0,0.0,0.027184466019417475,0.1919191919191919,0.031136702921731714,0.027089189879887555,0.15266558966074315,0.0008077544426494346,0.07592891760904685,0.21324717285945072,0.06946688206785137,0.0024232633279483036,0.024232633279483037,0.013731825525040387,0.0,0.0016155088852988692
Yeshayahu Levit,11.0,3.0,0.007246376811594203,0.17647058823529413,0.03281519861830743,0.022151898734177215,0.1437908496732026,0.0,0.1111111111111111,0.21568627450980393,0.0457516339869281,0.0,0.0196078431372549,0.013071895424836602,0.0,0.0
Bep Vriend,2.0,0.0,0.022727272727272728,0.13617021276595745,0.030407911001236094,0.02690724912947135,0.15546218487394958,0.0021008403361344537,0.07563025210084033,0.20168067226890757,0.07878151260504201,0.0,0.02415966386554622,0.01050420168067227,0.0,0.0
Mildred Breed,0.0,0.0,0.0125,0.3275862068965517,0.03595890410958904,0.017699115044247787,0.13529411764705881,0.011764705882352941,0.07647058823529412,0.19411764705882353,0.10588235294117647,0.0,0.01764705882352941,0.0058823529411764705,0.0,0.0
Yu Zhang,329.0,0.5,0.05,0.13513513513513514,0.039735099337748346,0.020202020202020204,0.136986301369863,0.0,0.0958904109589041,0.20205479452054795,0.0547945205479452,0.0,0.0136986301369863,0.017123287671232876,0.0,0.0
Nader Hanna,29.0,0.0,0.0,0.5,0.024390243902439025,0.018867924528301886,0.15,0.0,0.0,0.35,0.15,0.0,0.0,0.0,0.0,0.0
Joao Paulo Campos,466.0,9.0,0.06896551724137931,0.4,0.014814814814814815,0.02666666666666667,0.034482758620689655,0.0,0.0,0.1724137931034483,0.20689655172413793,0.0,0.0,0.0,0.0,0.0
