name,mp,pp,claims,claim_mistakes,weighted_claim_mistakes,leads,lead_mistakes,weighted_lead_mistakes,cards_played_as_declarer,play_mistakes_as_declarer,weighted_play_mistakes_as_declarer,cards_played_as_defender,play_mistakes_as_defender,weighted_play_mistakes_as_defender,auctions_analyzed,defender_missed_current_double,weighted_defender_missed_current_double,defender_erroneously_doubled,weighted_defender_erroneously_doubled,defender_missed_higher_contract,weighted_defender_missed_higher_contract,declarer_missed_higher_contract,weighted_declarer_missed_higher_contract,declarer_missed_doubling_opponents_last_bid,weighted_declarer_missed_doubling_opponents_last_bid,declarer_missed_opponents_last_redouble,weighted_declarer_missed_opponents_last_redouble,declarer_missed_redoubling_opponents_erroneous_double,weighted_declarer_missed_redoubling_opponents_erroneous_double,declarer_missed_opponents_last_bid,weighted_declarer_missed_opponents_last_bid,declarer_erroneous_redouble,weighted_declarer_erroneous_redouble,passed_higher_contract,weighted_passed_higher_contract  
Doncho Petkanov,0.0,0.0,52,1,30,12,3,510,270,10,1920,153,4,110,54,5.0,500.0,0,0,4.0,540.0,18.0,7020.0,6.0,3820.0,0,0,0,0,0,0,0,0,0,0
Guergui Gramatikov,15.0,0.0,60,0,0,13,4,2020,277,9,1630,198,4,1300,69,10.0,1700.0,0,0,6.0,1890.0,19.0,7390.0,5.0,3220.0,0,0,0,0,0,0,0,0,0,0
Francisco Alquiros,0.0,0.0,16,1,60,3,0,0,60,4,1220,34,1,30,20,2.0,300.0,0,0,1.0,120.0,4.0,2380.0,1.0,380.0,0,0,0,0,1.0,210.0,0,0,0,0
Giorgio Duboin,1356.0,50.0,1991,46,8610,503,88,19120,8281,242,37040,6829,119,19360,2154,323.0,59650.0,4.0,810.0,170.0,41410.0,447.0,162250.0,161.0,80950.0,2.0,180.0,38.0,20980.0,37.0,6840.0,0,0,6,600
Fernando Barredo,0.0,0.0,16,1,60,4,2,660,64,4,230,36,0,0,20,2.0,300.0,0,0,1.0,120.0,4.0,2380.0,1.0,380.0,0,0,0,0,1.0,210.0,0,0,0,0
Isidro Codera,0.0,0.0,18,1,30,3,2,390,9,0,0,22,1,50,20,3.0,400.0,0,0,0,0,6.0,920.0,1.0,500.0,0,0,0,0,1.0,90.0,0,0,0,0
Merardo Abaya,0.0,0.0,18,6,1130,4,1,20,51,4,1080,22,0,0,20,3.0,400.0,0,0,0,0,6.0,920.0,1.0,500.0,0,0,0,0,1.0,90.0,0,0,0,0
Fabio Rosati,0.0,0.0,330,9,4040,76,17,2880,1292,37,5290,1105,23,2330,355,58.0,15300.0,0,0,22.0,4010.0,84.0,28530.0,35.0,15480.0,1.0,1430.0,2.0,2380.0,6.0,1670.0,0,0,2,160
Orn Arnthorsson,2.0,2.0,94,3,380,22,4,1380,363,10,2400,338,13,2840,98,22.0,3250.0,0,0,7.0,1970.0,19.0,7450.0,5.0,1950.0,0,0,1.0,1670.0,2.0,680.0,0,0,1,140
Ki Hang CHAN,0.0,0.0,17,1,50,4,1,30,46,1,20,80,2,240,19,6.0,1100.0,0,0,2.0,2010.0,2.0,20.0,2.0,1040.0,0,0,0,0,0,0,0,0,0,0
Thorlakur Jonsson,52.0,6.0,595,18,2770,166,25,3040,2464,78,12560,1869,40,6210,649,91.0,16600.0,1.0,270.0,50.0,10210.0,156.0,58110.0,54.0,27170.0,2.0,1370.0,18.0,15580.0,5.0,440.0,0,0,1,70
Mikhail Rosenblum,3.0,0.0,76,3,380,19,3,270,227,12,1830,247,7,1180,79,8.0,900.0,1.0,170.0,6.0,1140.0,17.0,4350.0,8.0,3800.0,0,0,2.0,1110.0,1.0,660.0,0,0,1,70
Aland Suba,0.0,0.0,20,1,230,4,0,0,78,3,900,64,3,160,20,4.0,750.0,0,0,2.0,1360.0,3.0,1570.0,2.0,550.0,0,0,1.0,1010.0,0,0,0,0,0,0
Juhan Kobin,0.0,0.0,20,1,230,7,3,370,58,2,220,61,2,260,20,4.0,750.0,0,0,2.0,1360.0,3.0,1570.0,2.0,550.0,0,0,1.0,1010.0,0,0,0,0,0,0
Vassili Levenko,30.0,0.0,114,7,910,33,8,1740,353,7,1760,328,12,2410,129,19.0,4100.0,0,0,13.0,3050.0,26.0,9410.0,9.0,2830.0,1.0,250.0,3.0,1940.0,1.0,80.0,0,0,0,0
Sergej Baguzin,0.0,0.0,29,1,30,8,1,50,121,6,350,86,1,100,40,9.0,1450.0,0,0,3.0,1450.0,8.0,4800.0,3.0,2330.0,0,0,2.0,2480.0,1.0,370.0,0,0,0,0
Andrej Spiridonov,0.0,0.0,29,1,30,5,2,500,93,2,330,91,3,580,40,9.0,1450.0,0,0,3.0,1450.0,8.0,4800.0,3.0,2330.0,0,0,2.0,2480.0,1.0,370.0,0,0,0,0
Halit Bigat,0.0,0.0,19,0,0,4,2,50,16,1,100,49,2,1490,19,1.0,100.0,0,0,1.0,30.0,4.0,1150.0,1.0,50.0,0,0,0,0,1.0,330.0,0,0,0,0
Pierre Collaros,0.0,0.0,19,1,20,4,0,0,159,3,350,50,0,0,19,1.0,100.0,0,0,1.0,30.0,4.0,1150.0,1.0,50.0,0,0,0,0,1.0,330.0,0,0,0,0
Duc Bui Minh,0.0,0.0,57,5,1180,10,2,580,126,6,840,151,7,1530,60,12.0,2550.0,0,0,4.0,1040.0,12.0,5310.0,4.0,2060.0,0,0,1.0,380.0,0,0,0,0,2,180
Gerard Fierz,0.0,0.0,57,4,480,18,3,1020,217,10,1520,146,3,530,60,12.0,2550.0,0,0,4.0,1040.0,12.0,5310.0,4.0,2060.0,0,0,1.0,380.0,0,0,0,0,2,180
Gay Keaveney,2.0,0.0,233,11,3200,63,6,1340,940,34,6670,777,18,2610,315,36.0,5950.0,0,0,27.0,7490.0,68.0,23300.0,27.0,10250.0,0,0,6.0,2980.0,7.0,3040.0,0,0,2,740
Michael Mcgloughlin,0.0,0.0,19,1,160,6,3,1620,56,1,30,56,2,920,20,5.0,350.0,0,0,2.0,380.0,1.0,10.0,4.0,1300.0,0,0,0,0,1.0,150.0,0,0,1,110
Donal Garvey,0.0,0.0,83,4,830,18,6,910,342,13,3010,227,7,460,160,22.0,11200.0,1.0,200.0,14.0,3610.0,44.0,13960.0,18.0,7220.0,0,0,3.0,3600.0,1.0,60.0,0,0,0,0
Brendan O'brien,0.0,0.0,83,5,1310,15,1,140,402,13,1150,225,10,710,102,15.0,10750.0,1.0,200.0,10.0,3240.0,26.0,8660.0,11.0,4550.0,0,0,2.0,2300.0,1.0,60.0,0,0,0,0
Francis Vernon,0.0,3.0,59,2,60,15,2,60,148,6,400,206,6,340,60,7.0,900.0,0,0,5.0,710.0,9.0,2340.0,5.0,2170.0,0,0,2.0,2340.0,0,0,0,0,1,70
Tom Jacob,14.0,0.5,153,3,280,30,8,2790,509,19,2190,568,15,4340,157,35.0,5900.0,0,0,10.0,2260.0,31.0,9440.0,16.0,10470.0,0,0,2.0,640.0,2.0,420.0,0,0,1,110
